,division,district,thana,lat,long,geohash
548,Khulna,Khulna,Dighalia,,,
551,Sylhet,Maulvibazar,Kulaura,,,
553,Chittagong,Comilla,Daudkandi,,,
557,Mymensingh,Netrakona,Mohanganj,,,
560,Rajshahi,Naogaon,Raninagar,,,
563,Dhaka,Gazipur,Gazipur Sadar,,,
567,Rangpur,Gaibandha,Palashbari,,,
568,Dhaka,Gazipur,Kapasia,,,
574,Sylhet,Maulvibazar,Barlekha,,,
576,Chittagong,Khagrachhari,Lakshmichhari,,,
578,Dhaka,Gopalganj,Tungi Para,,,
580,Chittagong,Chittagong,Mirsharai,,,
583,Barisal,Barisal,Gaurnadi,,,
585,Dhaka,Kishoreganj,Pakundia,,,
586,Rajshahi,Sirajganj,Tarash,,,
588,Barisal,Jhalokati,Rajapur,,,
591,Dhaka,Tangail,Basail,,,
593,Barisal,Jhalokati,Jhalokati Sadar,,,
600,Chittagong,Brahamanbaria,Brahmanbaria Sadar,,,
601,Rajshahi,Rajshahi,Godagari,,,
603,Chittagong,Noakhali,Companiganj,,,
604,Chittagong,Noakhali,Kabirhat,,,
607,Barisal,Barisal,Muladi,,,
612,Chittagong,Khagrachhari,Manikchhari,,,
616,Dhaka,Kishoreganj,Kishoreganj Sadar,,,
617,Dhaka,Gopalganj,Gopalganj Sadar,,,
618,Dhaka,Munshiganj,Lohajang,,,
620,Rangpur,Lalmonirhat,Patgram,,,
632,Rangpur,Kurigram,Ulipur,,,
639,Sylhet,Sunamganj,Jamalganj,,,
643,Dhaka,Tangail,Nagarpur,,,
645,Chittagong,Rangamati,Belai Chhari,,,
646,Rangpur,Dinajpur,Parbatipur,,,
648,Mymensingh,Jamalpur,Islampur,,,
649,Rangpur,Kurigram,Kurigram Sadar,,,
657,Rajshahi,Sirajganj,Shahjadpur,,,
659,Rangpur,Dinajpur,Birampur,,,
663,Rajshahi,Pabna,Bera,,,
668,Barisal,Barguna,Betagi,,,
669,Chittagong,Chittagong,Rangunia,,,
672,Chittagong,Rangamati,Kawkhali (Betbunia),,,
675,Dhaka,Gopalganj,Kashiani,,,
683,Barisal,Bhola,Daulatkhan,,,
686,Rajshahi,Bogra,Sherpur,,,
692,Rangpur,Lalmonirhat,Aditmari,,,
697,Rajshahi,Sirajganj,Kamarkhanda,,,
700,Chittagong,Lakshmipur,Ramganj,,,
703,Chittagong,Khagrachhari,Khagrachhari Sadar,,,
708,Rajshahi,Naogaon,Manda,,,
709,Mymensingh,Mymensingh,Bhaluka,,,
714,Rajshahi,Bogra,Dhunat,,,
715,Barisal,Pirojpur,Bhandaria,,,
730,Barisal,Barisal,Bakerganj,,,
733,Barisal,Jhalokati,Nalchity,,,
740,Rangpur,Gaibandha,Saghatta,,,
741,Chittagong,Cox's Bazar,Cox's Bazar Sadar,,,
749,Sylhet,Sunamganj,Chhatak,,,
751,Rajshahi,Bogra,Nandigram,,,
753,Sylhet,Sunamganj,Derai,,,
761,Rajshahi,Rajshahi,Charghat,,,
762,Khulna,Jhenaidah,Harinakunda,,,
765,Rajshahi,Bogra,Sariakandi,,,
768,Mymensingh,Sherpur,Sreebardi,,,
774,Rajshahi,Naogaon,Mahadebpur,,,
779,Rangpur,Dinajpur,Birganj,,,
782,Dhaka,Shariatpur,Naria,,,
783,Khulna,Jessore,Manirampur,,,
785,Dhaka,Narayanganj,Rupganj,,,
786,Rajshahi,Nawabganj,Bholahat,,,
804,Rajshahi,Natore,Gurudaspur,,,
808,Rangpur,Kurigram,Rajarhat,,,
809,Khulna,Jessore,Keshabpur,,,
816,Dhaka,Dhaka,Dohar,,,
818,Rajshahi,Pabna,Chatmohar,,,
834,Rajshahi,Bogra,Kahaloo,,,
851,Chittagong,Brahamanbaria,Bijoynagar,,,
865,Dhaka,Rajbari,Kalukhali,,,
871,Dhaka,Faridpur,Boalmari,,,
875,Rajshahi,Bogra,Bogra Sadar,,,
878,Chittagong,Brahamanbaria,Nasirnagar,,,
890,Rajshahi,Sirajganj,Royganj,,,
892,Chittagong,Comilla,Brahman Para,,,
902,Rangpur,Dinajpur,Ghoraghat,,,
915,Chittagong,Rangamati,Naniarchar,,,
919,Chittagong,Chittagong,Hathazari,,,
920,Chittagong,Noakhali,Hatiya,,,
921,Khulna,Bagerhat,Mongla,,,
936,Chittagong,Cox's Bazar,Ramu,,,
937,Mymensingh,Netrakona,Khaliajuri,,,
944,Rajshahi,Sirajganj,Kazipur,,,
949,Sylhet,Sunamganj,Dharampasha,,,
950,Rajshahi,Natore,Singra,,,
955,Rajshahi,Bogra,Dhupchanchia,,,
967,Rangpur,Rangpur,Rangpur Sadar,,,
969,Khulna,Satkhira,Kalaroa,,,
974,Mymensingh,Netrakona,Madan,,,
988,Khulna,Khulna,Paikgachha,,,
995,Barisal,Barisal,Barisal Sadar (Kotwali),,,
1010,Chittagong,Rangamati,Kaptai,,,
1020,Rangpur,Nilphamari,Nilphamari Sadar,,,
1034,Chittagong,Noakhali,Subarnachar,,,
1047,Dhaka,Faridpur,Char Bhadrasan,,,
1049,Chittagong,Chandpur,Haim Char,,,
1061,Barisal,Barguna,Patharghata,,,
1065,Chittagong,Lakshmipur,Kamalnagar,,,
1078,Dhaka,Faridpur,Nagarkanda,,,
1118,Rangpur,Kurigram,Char Rajibpur,,,
1125,Dhaka,Narsingdi,Palash,,,
1138,Sylhet,Sylhet,Jaintiapur,,,
1156,Khulna,Jessore,Chaugachha,,,
1166,Chittagong,Khagrachhari,Panchhari,,,
1170,Chittagong,Feni,Chhagalnaiya,,,
1176,Rajshahi,Naogaon,Porsha,,,
1186,Dhaka,Kishoreganj,Nikli,,,
1190,Dhaka,Kishoreganj,Kuliar Char,,,
1196,Dhaka,Rajbari,Goalandaghat,,,
1207,Rangpur,Panchagarh,Debiganj,,,
1245,Rangpur,Dinajpur,Kaharole,,,
1251,Chittagong,Feni,Daganbhuiyan,,,
1261,Chittagong,Chandpur,Matlab Dakshin,,,
1265,Sylhet,Sunamganj,Bishwambarpur,,,
1267,Chittagong,Brahamanbaria,Banchharampur,,,
1279,Chittagong,Chandpur,Faridganj,,,
1290,Khulna,Bagerhat,Sarankhola,,,
1295,Chittagong,Chandpur,Shahrasti,,,
1304,Barisal,Bhola,Manpura,,,
1313,Dhaka,Dhaka,Khilgaon,,,
1314,Dhaka,Dhaka,Sabujbagh,,,
1315,Dhaka,Dhaka,Biman Bandar,,,
1316,Dhaka,Dhaka,Khilkhet,,,
1317,Dhaka,Dhaka,Dakshinkhan,,,
1326,Dhaka,Kishoreganj,Tarail,,,
1328,Khulna,Khulna,Phultala,,,
1332,Dhaka,Shariatpur,Damudya,,,
1333,Khulna,Chuadanga,Damurhuda,,,
1353,Rangpur,Gaibandha,Gobindaganj,,,
1371,Rajshahi,Pabna,Ishwardi,,,
1399,Khulna,Satkhira,Debhata,,,
1416,Dhaka,Dhaka,Demra,,,
1481,Khulna,Satkhira,Tala,,,
1485,Dhaka,Dhaka,Jatrabari,,,
1486,Dhaka,Dhaka,Kadamtali,,,
1495,Mymensingh,Sherpur,Jhenaigati,,,
1575,Barisal,Pirojpur,Nazirpur,,,
1581,Khulna,Jhenaidah,Jhenaidah Sadar,,,
1622,Sylhet,Sunamganj,Dakshin Sunamganj,,,
1623,Barisal,Pirojpur,Pirojpur Sadar,,,
1664,Rangpur,Gaibandha,Fulchhari,,,
1697,Rajshahi,Nawabganj,Nachole,,,
1698,Sylhet,Maulvibazar,Rajnagar,,,
1711,Sylhet,Sylhet,Fenchuganj,,,
1730,Sylhet,Maulvibazar,Juri,,,
1793,Dhaka,Shariatpur,Gosairhat,,,
1842,Chittagong,Bandarban,Ruma,,,
1939,Sylhet,Habiganj,Habiganj Sadar,,,
2021,Chittagong,Cox's Bazar,Ukhia,,,
2034,Chittagong,Khagrachhari,Ramgarh,,,
2035,Rangpur,Rangpur,Kaunia,,,
2065,Dhaka,Dhaka,Turag,,,
2094,Sylhet,Sylhet,Sylhet Sadar,,,
2635,Chittagong,Khagrachhari,Mahalchhari,,,
4596,Dhaka,Dhaka,Kamrangir Char,,,
4831,Dhaka,Dhaka,Uttar Khan,,,
4863,Chittagong,Chittagong,Bayejid Bostami,,,
4865,Dhaka,Dhaka,Uttara,,,
4867,Rajshahi,Rajshahi,Rajpara,,,
4871,Dhaka,Dhaka,Pallabi,,,
4882,Chittagong,Chittagong,Chandgaon,,,
4883,Dhaka,Dhaka,Kafrul,,,
4899,Chittagong,Chittagong,Panchlaish,,,
4900,Khulna,Khulna,Khalishpur,,,
4905,Dhaka,Dhaka,Shah Ali,,,
4907,Rajshahi,Rajshahi,Boalia,,,
4909,Chittagong,Chittagong,Khulshi,,,
4912,Dhaka,Dhaka,Darus Salam,,,
4917,Chittagong,Chittagong,Pahartali,,,
4930,Chittagong,Chittagong,Halishahar,,,
4937,Chittagong,Chittagong,Double Mooring,,,
4956,Dhaka,Dhaka,Cantonment,,,
4964,Khulna,Khulna,Sonadanga,,,
4968,Chittagong,Chittagong,Bakalia,,,
4970,Rajshahi,Rajshahi,Shah Makhdum,,,
4976,Dhaka,Dhaka,Gulshan,,,
4993,Dhaka,Dhaka,Tejgaon Ind. Area,,,
4997,Khulna,Khulna,Khulna Sadar,,,
5002,Dhaka,Dhaka,Rampura,,,
5041,Rajshahi,Rajshahi,Matihar,,,
5054,Dhaka,Dhaka,Motijheel,,,
5065,Dhaka,Dhaka,Paltan,,,
5066,Chittagong,Chittagong,Chittagong Port,,,
5071,Dhaka,Dhaka,Tejgaon,,,
5075,Chittagong,Chittagong,Patenga,,,
5077,Dhaka,Dhaka,Sher-e-bangla Nagar,,,
5082,Dhaka,Dhaka,Adabor,,,
5087,Dhaka,Dhaka,Hazaribagh,,,
5089,Dhaka,Dhaka,Dhanmondi,,,
5093,Dhaka,Dhaka,Kalabagan,,,
5096,Dhaka,Dhaka,New Market,,,
5097,Dhaka,Dhaka,Ramna,,,
5100,Dhaka,Dhaka,Shahbagh,,,
5101,Dhaka,Dhaka,Lalbagh,,,
5108,Dhaka,Dhaka,Bangshal,,,
5109,Dhaka,Dhaka,Chak Bazar,,,
5124,Dhaka,Dhaka,Sutrapur,,,
5126,Dhaka,Dhaka,Gendaria,,,
5135,Dhaka,Dhaka,Shyampur,,,
