,Unnamed: 0,division,district,thana,lat,long,geohash
207,287,Chittagong,Comilla,Comilla Sadar Dakshin,23.3066766,91.15449629999999,wh0ud6bejxq
208,291,Khulna,Jessore,Abhaynagar,23.0238177,89.3795835,tupdczk5rnx
209,294,Chittagong,Chittagong,Raozan,22.5250447,91.9196949,wh125stcuhs
210,295,Khulna,Meherpur,Mujib Nagar,23.649545,88.589909,tunyxcm0w6x
211,296,Khulna,Kushtia,Kumarkhali,23.8595814,89.239589,tuprwxw21hk
212,298,Rajshahi,Sirajganj,Chauhali,24.072394,89.7567693,turbfqnzu76
213,299,Mymensingh,Jamalpur,Dewanganj,25.3310623,89.79131629999999,tuxb572h1k6
214,300,Dhaka,Madaripur,Madaripur Sadar,23.2155345,90.1682271,wh0h5f62rcr
215,303,Khulna,Kushtia,Bheramara,24.1055071,88.9654154,tur30kq8u2j
216,304,Rajshahi,Naogaon,Niamatpur,24.8355273,88.5679981,tuqvr3jjrvv
217,305,Dhaka,Gazipur,Kaliganj,25.9685979,89.2657266,tux7xr3q41w
218,306,Rangpur,Nilphamari,Kishoreganj,25.9202129,89.0752499,tux76yws5vb
219,310,Khulna,Bagerhat,Morrelganj,22.4499409,89.85284159999999,tgzzswuu6uq
220,311,Chittagong,Chittagong,Banshkhali,22.2337164,91.8659809,w5cq6rwbb90
221,312,Chittagong,Cox's Bazar,Teknaf,21.008238,92.217465,w59xd2qtyem
222,313,Dhaka,Rajbari,Balia Kandi,,,
223,314,Dhaka,Tangail,Sakhipur,24.2864848,90.1869644,wh24hm0ph8f
224,316,Khulna,Bagerhat,Fakirhat,22.777513,89.7074695,tupc96dbxs1
225,318,Sylhet,Habiganj,Bahubal,24.3412478,91.5378109,wh346zpy196
226,319,Dhaka,Gopalganj,Muksudpur,23.2632379,89.9066314,tupumfun0mg
227,322,Dhaka,Narayanganj,Sonargaon,23.6906423,90.62041649999999,wh0qy0ezbzb
228,326,Chittagong,Chittagong,Chandanaish,22.2489309,92.08613299999999,w5cqx6r16mm
229,327,Khulna,Bagerhat,Rampal,22.595713,89.68162079999999,tupb8c2jt4p
230,330,Dhaka,Kishoreganj,Mithamain,24.4195583,91.0634024,wh2fbjqq5pd
231,332,Rangpur,Thakurgaon,Pirganj,25.8191232,88.3433623,tuwffk1xm93
232,334,Barisal,Barisal,Banari Para,22.7779323,90.1622648,wh01edw5j43
233,335,Chittagong,Bandarban,Naikhongchhari,21.4269481,92.17572779999999,w5c9cs8m40s
234,336,Chittagong,Comilla,Manoharganj,23.1122951,91.11583189999999,wh0g3rkwbu0
235,337,Mymensingh,Sherpur,Sherpur Sadar,25.0190502,90.01383650000001,wh2n26d4d2v
236,339,Dhaka,Kishoreganj,Bajitpur,24.0555274,90.9802452,wh28y71v977
237,342,Khulna,Khulna,Dacope,22.6012347,89.5072866,tup8sf3jwzw
238,346,Mymensingh,Netrakona,Durgapur,24.4479933,88.7686382,tur55fx7ghq
239,347,Chittagong,Chandpur,Hajiganj,23.2520414,90.85083449999999,wh0s72gscys
240,348,Chittagong,Feni,Parshuram,23.2092121,91.4241426,wh1h03j52yt
241,352,Rajshahi,Rajshahi,Mohanpur,24.544858,88.63619589999999,tur58uqbjj1
242,353,Chittagong,Comilla,Burichang,23.5450599,91.1161166,wh0vcqhxzmk
243,358,Rajshahi,Naogaon,Naogaon Sadar,24.7813896,88.8838834,turhyx7609g
244,361,Rangpur,Nilphamari,Dimla,26.1488689,88.9196987,tuxhz2m25nk
245,362,Sylhet,Sylhet,Balaganj,,,
246,363,Rangpur,Nilphamari,Jaldhaka,26.0196636,89.0165912,tuxk18ezsbv
247,368,Chittagong,Comilla,Titas,23.5947484,90.7722974,wh0w1x637gf
248,370,Rangpur,Rangpur,Mitha Pukur,25.6137326,89.28472510000002,tux3xwz4ucu
249,371,Dhaka,Manikganj,Singair,23.786991,90.1682271,wh0p7f63rbx
250,373,Barisal,Pirojpur,Zianagar,22.482402,89.957707,tgzzzhc1qx2
251,377,Mymensingh,Mymensingh,Phulpur,24.9750789,90.3183792,wh2np4xf6u0
252,379,Rajshahi,Bogra,Gabtali,24.8794971,89.4553088,turte95mef2
253,382,Dhaka,Manikganj,Ghior,23.8703485,89.9159785,tupzy16yf5m
254,385,Barisal,Patuakhali,Kala Para,21.9044485,90.1869644,w5bhs784st4
255,386,Dhaka,Manikganj,Saturia,23.9729721,90.0361533,wh202u4kdmv
256,387,Dhaka,Tangail,Dhanbari,24.6905333,89.9440061,turuqwz0z1p
257,390,Chittagong,Feni,Feni Sadar,22.9710093,91.4241426,wh148mtpbfm
258,395,Sylhet,Sunamganj,Tahirpur,,,
259,397,Chittagong,Bandarban,Thanchi,21.820348,92.437591,w5cspkqbxzx
260,399,Dhaka,Tangail,Kalihati,24.3394233,89.92422549999999,turfqqbg6m6
261,401,Rangpur,Kurigram,Nageshwari,25.9659064,89.6912763,tuxg8yznq5y
262,404,Rajshahi,Bogra,Sonatola,25.0101829,89.5025641,turwk8vybuh
263,406,Dhaka,Munshiganj,Gazaria,23.6237764,90.50004039999999,wh0q7ks47z1
264,408,Khulna,Jhenaidah,Kotchandpur,23.4075287,89.0119581,tupm1t0w8zw
265,409,Chittagong,Rangamati,Rangamati Sadar,22.6527331,92.18432849999999,wh18cey9dx9
266,410,Dhaka,Munshiganj,Serajdikhan,23.5961616,90.3936722,wh0q0zw9t5r
267,411,Sylhet,Habiganj,Lakhai,24.3106095,91.30236769999999,wh2fm9s7e65
268,412,Rangpur,Gaibandha,Sundarganj,25.5643622,89.5190902,tux9mjcg1yx
269,414,Khulna,Meherpur,Gangni,23.8206519,88.74218309999999,tuppe2kj6er
270,416,Barisal,Barguna,Bamna,22.2741614,90.04665589999999,w5bn9ncurht
271,417,Chittagong,Lakshmipur,Roypur,22.9758497,90.6962853,wh06xyeh08g
272,419,Barisal,Barisal,Wazirpur,22.8193437,90.2502935,wh01vdnk23b
273,420,Rangpur,Nilphamari,Domar,26.1546619,88.8070886,tuxhuc73gnk
274,425,Rangpur,Gaibandha,Sadullapur,25.3909385,89.46594619999999,tux87y70gtu
275,428,Rangpur,Kurigram,Raumari,25.592668,89.832688,tuxcs5n0j75
276,430,Dhaka,Narayanganj,Bandar,23.6314492,90.5352356,wh0qkjvxpvk
277,431,Chittagong,Bandarban,Bandarban Sadar,22.202303,92.213015,w5cw63g3ycr
278,433,Dhaka,Madaripur,Shib Char,23.3584485,90.1682271,wh0hgu62zfr
279,437,Rajshahi,Rajshahi,Puthia,24.4010724,88.8455037,tur4vdp6d39
280,438,Mymensingh,Sherpur,Nakla,24.9716659,90.1787051,wh2nh1fnkpu
281,439,Chittagong,Lakshmipur,Lakshmipur Sadar,22.9511825,90.86751339999999,wh0dedpsqd8
282,441,Rajshahi,Sirajganj,Ullah Para,24.3571916,89.5308903,turdt646uvw
283,442,Chittagong,Rangamati,Rajasthali,22.3892808,92.2827384,w5cx7gy5p8m
284,443,Rangpur,Nilphamari,Saidpur,25.8245401,88.9222277,tux4zmpny54
285,447,Sylhet,Sunamganj,Dowarabazar,,,
